:Recent_Solar_Indices: RecentIndices.txt
:Created: 2012 Aug 06 0759 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Source SWO: SWPC Space Weather Operations (SWO).
# Source RI: S.I.D.C. Brussels International Sunspot Number.
# Source 10.7cm radio flux values (sfu): Penticton, B.C., Canada.
# 
# Source Ap: GeoForschungsZentrum, Postdam, Germany
#            Prior to January 1997, Institut fur Geophysik, Gottingen, Germany
# Source Ap for final month is NOAA/SWPC estimated Ap.
#
# Data not yet available or not calculable: -1.0
#
# Values for most recent 6 months are considered preliminary. 
# Final values from National Geophysical Data Center www.ngdc.noaa.gov
#
#                               Recent Solar Indices
#                         of Observed Monthly Mean Values
#
#       -----------Sunspot Numbers--------- ----Radio Flux---  ---Geomagnetic---
#       ---Observed---- Ratio   --Smoothed- Observed Smoothed  Observed Smoothed
# YR MO    SWO     RI   RI/SW    SWO   RI     10.7cm  10.7cm      Ap       Ap
#-------------------------------------------------------------------------------
1995 10    31.6    21.1  0.67    19.7  12.1     77.9     73.8        16     11.4
1995 11    15.7     9.0  0.57    18.5  11.3     74.2     73.2         9     10.7
1995 12    16.2    10.0  0.62    17.6  10.8     72.6     72.8         9     10.0
1996 01    17.6    11.5  0.65    16.8  10.4     74.5     72.4         9      9.7
1996 02     9.1     4.4  0.48    16.2  10.1     71.5     72.2        10      9.7
1996 03    12.1     9.2  0.76    15.4   9.7     70.7     72.1        11      9.8
1996 04     8.5     4.8  0.56    13.6   8.4     69.3     71.6        11      9.7
1996 05    11.8     5.5  0.47    12.9   8.0     70.1     71.4         7      9.5
1996 06    18.8    11.8  0.63    13.5   8.5     69.6     71.8         5      9.4
1996 07    13.2     8.2  0.62    13.4   8.4     71.2     72.0         7      9.3
1996 08    20.5    14.4  0.70    13.1   8.3     72.4     72.1         9      9.4
1996 09     2.9     1.6  0.55    13.3   8.4     69.4     72.3        15      9.3
1996 10     2.3     0.9  0.39    14.0   8.8     69.2     72.6        13      9.1
1996 11    26.7    17.9  0.67    15.4   9.8     78.7     73.0         8      9.1
1996 12    21.1    13.3  0.63    16.2  10.4     77.8     73.3         7      9.3
1997 01     9.0     5.7  0.63    16.5  10.5     74.0     73.4         9      9.3
1997 02    11.3     7.6  0.67    17.4  11.0     73.8     73.7        11      9.2
1997 03    14.4     8.7  0.60    20.4  13.5     73.5     75.1         8      8.9
1997 04    24.5    15.5  0.63    24.0  16.5     74.5     76.8        10      8.5
1997 05    28.6    18.5  0.65    26.4  18.4     74.6     78.4         8      8.5
1997 06    22.1    12.7  0.57    29.0  20.4     71.7     80.1         7      8.5
1997 07    17.0    10.4  0.61    32.4  22.7     71.1     81.8         6      8.4
1997 08    36.7    24.4  0.66    35.9  25.1     79.0     83.4         7      8.2
1997 09    58.2    51.3  0.88    40.5  28.4     96.2     85.7        10      8.3
1997 10    33.6    23.8  0.71    45.4  31.9     84.9     88.6        10      8.5
1997 11    53.5    39.0  0.73    49.3  35.0     99.5     91.3        11      8.9
1997 12    57.9    41.2  0.71    54.2  39.0     98.8     94.2         4      9.5
1998 01    51.8    31.9  0.62    60.6  43.8     93.4     97.5         8      9.8
1998 02    54.4    40.3  0.74    67.4  49.0     93.4    101.7         8     10.5
1998 03    81.8    54.8  0.67    73.3  53.5    109.1    105.8        13     11.0
1998 04    73.6    53.4  0.73    77.7  56.6    108.3    108.9        10     11.3
1998 05    74.3    56.3  0.76    81.4  59.4    106.7    112.0        18     11.6
1998 06    93.6    70.7  0.76    85.9  62.5    108.4    115.8        10     12.0
1998 07    98.3    66.6  0.68    90.3  65.5    114.0    120.0        11     12.3
1998 08   118.6    92.2  0.78    93.7  67.8    136.0    124.1        18     12.5
1998 09   119.0    92.9  0.78    96.1  69.5    138.3    126.8        13     12.7
1998 10    77.0    55.5  0.72    97.7  70.5    117.3    127.9        13     12.8
1998 11    99.5    74.0  0.74   101.3  73.0    140.2    130.0        16     12.5
1998 12   120.8    81.9  0.68   108.8  77.9    150.1    134.3         8     12.0
1999 01    94.3    62.0  0.66   116.5  82.6    142.6    139.0        10     11.8
1999 02    93.4    66.3  0.71   120.2  84.6    142.0    142.6        12     11.6
1999 03   100.5    68.8  0.68   120.5  83.8    126.3    144.0        14     11.8
1999 04    92.9    63.7  0.69   123.8  85.5    117.2    145.8        12     12.3
1999 05   140.5   106.4  0.76   131.7  90.5    148.6    149.9         8     12.4
1999 06   208.3   137.7  0.66   136.0  93.1    169.8    152.9         7     12.4
1999 07   169.2   113.5  0.67   138.0  94.3    165.6    154.4        10     12.6
1999 08   136.1    93.7  0.69   142.8  97.5    170.8    156.3        15     12.9
1999 09   107.4    71.5  0.67   150.0 102.3    135.7    161.0        19     12.9
1999 10   167.7   116.7  0.70   158.5 107.8    164.8    167.2        19     12.8
1999 11   199.3   133.2  0.67   164.7 111.0    191.5    171.5        14     13.2
1999 12   123.5    84.6  0.69   165.9 111.1    169.8    173.4        10     13.8
2000 01   140.8    90.1  0.64   168.0 112.9    158.1    175.5        13     14.6
2000 02   161.9   112.9  0.70   172.1 116.8    173.2    176.8        16     15.1
2000 03   203.6   138.5  0.68   175.4 119.9    208.2    178.4         9     15.1
2000 04   193.4   125.5  0.65   176.3 120.8    184.2    180.5        15     15.0
2000 05   188.8   121.6  0.64   173.1 119.0    184.5    180.0        15     15.1
2000 06   190.3   124.9  0.66   172.0 118.7    179.8    179.7        15     15.1
2000 07   236.7   170.1  0.72   173.0 119.8    204.7    180.2        21     14.8
2000 08   166.6   130.5  0.78   171.8 118.6    163.1    179.4        16     14.2
2000 09   157.9   109.7  0.69   169.0 116.3    182.1    177.1        18     14.3
2000 10   138.9    99.4  0.72   166.2 114.5    167.7    175.5        18     15.0
2000 11   149.9   106.8  0.71   162.7 112.7    178.8    173.8        17     15.1
2000 12   146.4   104.4  0.71   160.8 112.0    173.6    172.0         7     14.7
2001 01   142.7    95.6  0.67   156.3 108.7    166.6    168.7         8     14.0
2001 02   131.0    80.6  0.62   151.4 104.0    146.7    165.6         7     13.3
2001 03   166.7   113.5  0.68   154.0 104.8    177.7    167.8        20     12.9
2001 04   163.6   107.7  0.66   159.4 107.5    178.1    171.6        22     12.8
2001 05   135.1    96.6  0.72   163.1 108.6    147.9    174.7        10     12.8
2001 06   196.7   134.0  0.68   167.2 109.8    173.7    178.7        10     12.8
2001 07   124.6    81.8  0.66   172.1 111.7    131.3    183.8         9     12.9
2001 08   159.4   106.4  0.67   176.7 113.6    163.1    188.8        11     13.0
2001 09   229.1   150.7  0.66   178.8 114.1    233.8    191.3        13     12.8
2001 10   197.4   125.5  0.64   179.5 114.0    208.1    191.9        20     12.1
2001 11   178.6   106.5  0.60   183.7 115.5    212.7    193.7        16     12.0
2001 12   217.5   132.2  0.61   184.5 114.6    235.6    193.9         9     12.0
2002 01   189.0   114.1  0.60   184.8 113.5    227.3    194.6         8     11.9
2002 02   194.5   107.4  0.55   188.6 114.6    205.0    197.2        10     12.1
2002 03   153.1    98.4  0.64   188.9 113.3    180.3    195.7        10     12.3
2002 04   194.9   120.7  0.62   186.2 110.5    189.8    191.5        17     12.5
2002 05   204.1   120.8  0.59   183.6 108.8    178.4    188.0        12     12.7
2002 06   146.0    88.3  0.60   179.9 106.2    148.7    182.9         7     12.9
2002 07   183.5    99.6  0.54   175.4 102.7    173.5    176.2        11     13.3
2002 08   191.0   116.4  0.61   169.2  98.7    183.9    169.3        14     13.8
2002 09   206.4   109.6  0.53   163.4  94.6    175.8    164.0        13     14.5
2002 10   153.9    97.5  0.63   158.8  90.5    167.0    159.3        25     15.1
2002 11   159.8    95.5  0.60   150.9  85.2    168.7    154.1        17     15.8
2002 12   147.9    80.8  0.55   145.0  82.0    157.2    150.7        13     17.1
2003 01   149.3    79.7  0.53   141.7  80.8    144.0    148.0        13     18.2
2003 02    87.0    46.0  0.53   136.4  78.3    124.5    143.5        17     18.9
2003 03   119.7    61.1  0.51   128.1  74.0    132.2    138.3        21     19.5
2003 04   119.7    60.0  0.50   121.5  70.1    126.3    135.0        20     20.1
2003 05    89.6    54.6  0.61   118.3  67.6    116.2    133.1        26     21.0
2003 06   118.4    77.4  0.65   113.6  65.0    129.3    130.2        24     21.5
2003 07   132.8    83.3  0.63   106.9  61.8    127.7    127.2        19     22.0
2003 08   114.3    72.7  0.64   102.8  60.0    122.1    125.2        23     22.3
2003 09    82.6    48.7  0.59   100.7  59.5    112.2    123.7        18     21.8
2003 10   118.9    65.5  0.55    96.6  58.2    151.3    121.8        35     21.1
2003 11   118.9    67.3  0.57    93.6  56.7    140.8    120.1        28     20.0
2003 12    75.4    46.5  0.62    91.4  54.8    115.0    118.0        16     18.6
2004 01    62.3    37.3  0.60    87.9  52.0    114.1    116.3        22     18.1
2004 02    75.6    45.8  0.61    84.2  49.3    107.0    115.5        13     17.7
2004 03    81.0    49.1  0.61    80.9  47.1    112.0    114.6        14     16.7
2004 04    59.3    39.3  0.66    77.9  45.5    101.2    112.4        11     15.2
2004 05    77.3    41.5  0.54    74.1  43.8     99.8    109.3         8     14.0
2004 06    78.9    43.2  0.55    70.4  41.6     97.4    107.4         8     13.6
2004 07    87.8    51.1  0.58    68.3  40.2    118.5    106.1        23     13.5
2004 08    69.5    40.9  0.59    66.6  39.2    111.0    105.2         9     13.5
2004 09    50.0    27.7  0.55    63.7  37.5    103.0    103.8         9     13.3
2004 10    77.9    48.0  0.62    61.3  35.9    105.9    102.3         8     13.3
2004 11    70.5    43.5  0.62    60.0  35.3    113.7    101.6        25     13.7
2004 12    34.7    17.9  0.52    58.8  35.2     95.0    101.5        11     14.3
2005 01    52.0    31.3  0.60    57.3  34.6    102.2    100.4        24     14.1
2005 02    45.4    29.2  0.64    56.4  33.9     97.2     98.6        11     14.0
2005 03    41.0    24.5  0.60    55.8  33.5     89.9     97.3        12     14.6
2005 04    41.5    24.2  0.58    52.6  31.6     86.0     95.5        11     15.1
2005 05    65.4    42.7  0.65    48.3  28.9     99.5     93.2        19     14.4
2005 06    59.8    39.3  0.66    47.9  28.8     93.7     91.9        12     13.6
2005 07    71.0    40.1  0.56    48.1  29.1     96.5     90.9        14     12.8
2005 08    65.6    36.4  0.55    45.4  27.4     90.5     89.2        14     11.8
2005 09    39.2    21.9  0.56    42.9  25.8     91.1     87.8        20     11.4
2005 10    13.0     8.7  0.67    42.6  25.5     76.6     87.3         8     11.3
2005 11    32.2    18.0  0.56    42.1  24.9     86.2     86.7         8     10.8
2005 12    62.6    41.1  0.66    40.1  23.0     90.7     85.2         9     10.0
2006 01    28.0    15.3  0.55    37.2  20.8     83.4     83.6         6      9.5
2006 02     5.3     4.9  0.92    33.4  18.6     76.5     82.3         6      9.0
2006 03    21.3    10.6  0.50    31.0  17.4     75.5     81.2         8      8.3
2006 04    55.2    30.2  0.55    30.6  17.1     89.0     80.6        11      7.8
2006 05    39.6    22.3  0.56    30.7  17.3     80.9     80.5         7      7.9
2006 06    37.7    13.9  0.37    28.9  16.3     76.5     80.2         7      8.2
2006 07    22.6    12.2  0.54    27.2  15.2     75.8     80.0         6      8.6
2006 08    22.8    12.9  0.57    27.6  15.6     79.4     80.1         9      8.8
2006 09    25.2    14.4  0.57    27.7  15.5     77.8     80.0         8      8.8
2006 10    15.7    10.5  0.67    25.2  14.2     74.3     79.1         9      8.8
2006 11    31.5    21.4  0.68    22.3  12.6     86.3     78.2         9      8.7
2006 12    22.2    13.6  0.61    20.7  12.1     84.5     77.8        15      8.7
2007 01    26.6    16.8  0.63    19.7  11.9     83.5     77.5        10      8.7
2007 02    17.2    10.7  0.62    18.9  11.5     77.7     76.9         7      8.6
2007 03     9.7     4.5  0.46    17.5  10.7     72.2     76.0         8      8.5
2007 04     6.9     3.4  0.49    16.0   9.8     72.4     75.3         9      8.5
2007 05    19.4    11.7  0.60    14.2   8.6     74.4     74.3         8      8.3
2007 06    20.0    12.1  0.61    12.8   7.6     73.7     73.3         6      7.9
2007 07    15.6     9.7  0.62    11.6   6.9     71.6     72.7         7      7.4
2007 08     9.9     6.0  0.61    10.2   6.0     69.1     72.1         6      7.5
2007 09     4.8     2.4  0.50     9.9   5.9     67.0     71.8         9      7.8
2007 10     1.3     0.9  0.69    10.0   6.0     67.5     71.8         7      7.9
2007 11     2.5     1.7  0.68     9.4   5.7     69.6     71.4         7      7.8
2007 12    16.2    10.1  0.62     8.1   4.9     78.5     70.8         6      7.8
2008 01     5.1     3.3  0.65     6.9   4.2     74.3     70.3         8      7.8
2008 02     3.8     2.1  0.55     5.9   3.6     71.1     69.9        11      7.6
2008 03    15.9     9.3  0.58     5.3   3.3     72.9     69.8        11      7.5
2008 04     4.9     2.9  0.59     5.3   3.4     70.2     69.8         9      7.3
2008 05     5.7     3.2  0.56     5.7   3.5     68.4     69.8         6      7.2
2008 06     4.2     3.4  0.81     5.2   3.3     65.9     69.4         7      7.0
2008 07     1.0     0.8  0.80     4.5   2.8     65.7     68.8         5      6.8
2008 08     0.0     0.5 -1.00     4.4   2.7     66.3     68.6         5      6.3
2008 09     1.5     1.1  0.73     3.7   2.3     67.1     68.4         6      5.8
2008 10     5.2     2.9  0.56     2.9   1.8     68.3     68.2         7      5.4
2008 11     6.8     4.1  0.60     2.7   1.7     68.6     68.3         4      5.1
2008 12     1.3     0.8  0.62     2.7   1.7     69.2     68.5         4      4.9
2009 01     2.8     1.3  0.46     3.0   1.8     69.8     68.7         4      4.7
2009 02     2.5     1.4  0.56     3.1   1.9     70.0     68.8         5      4.7
2009 03     0.7     0.7  1.00     3.4   2.0     69.2     69.0         5      4.6
2009 04     1.2     0.8  1.00     3.7   2.2     69.7     69.3         4      4.3
2009 05     3.9     2.9  0.74     3.8   2.3     70.5     69.7         4      4.1
2009 06     6.6     2.9  0.39     4.4   2.7     68.6     70.2         4      4.0
2009 07     5.0     3.2  0.70     5.8   3.6     68.2     71.0         4      3.9
2009 08     0.3     0.0  0.00     7.7   4.8     67.4     72.1         5      3.8
2009 09     6.6     4.3  0.64     9.9   6.2     70.5     73.3         4      3.8
2009 10     7.0     4.8  0.66    11.3   7.1     72.3     74.1         3      4.1
2009 11     7.7     4.1  0.55    12.4   7.6     73.6     74.5         3      4.5
2009 12    15.7    10.8  0.68    13.6   8.3     76.8     74.9         2      4.8
2010 01    21.3    13.2  0.62    14.8   9.3     81.1     75.5         3      5.0
2010 02    31.0    18.8  0.60    16.7  10.6     84.7     76.5         5      5.1
2010 03    24.7    15.4  0.62    19.1  12.3     83.3     77.5         5      5.3
2010 04    11.2     8.0  0.71    21.4  14.0     75.9     78.3        10      5.5
2010 05    19.9     8.7  0.44    23.8  15.5     73.8     79.0         8      5.7
2010 06    17.9    13.6  0.75    25.2  16.4     72.6     79.7         7      5.8
2010 07    23.1    16.1  0.70    25.9  16.7     79.9     80.1         5      6.0
2010 08    28.2    19.6  0.70    27.3  17.4     79.7     80.7         8      6.2
2010 09    35.6    25.2  0.71    30.6  19.6     81.1     82.4         5      6.3
2010 10    35.0    23.5  0.67    35.9  23.2     81.6     85.3         6      6.4
2010 11    36.1    21.5  0.60    40.5  26.5     82.5     87.7         5      6.4
2010 12    22.0    14.4  0.66    43.8  28.8     84.3     89.6         4      6.5
2011 01    32.1    18.8  0.59    47.2  30.9     83.7     91.2         6      6.7
2011 02    53.2    29.6  0.55    50.6  33.4     94.5     92.7         6      6.8
2011 03    81.0    55.8  0.69    55.2  36.9    115.3     95.8         7      7.2
2011 04    81.7    54.4  0.67    61.5  41.8    112.6    100.4         9      7.5
2011 05    61.4    41.5  0.68    69.0  47.6     95.9    105.6         9      7.5
2011 06    55.5    37.0  0.67    76.5  53.2     95.8    110.9         8      7.4
2011 07    67.0    43.8  0.66    82.5  57.2     94.2    115.4         9      7.3
2011 08    66.1    50.6  0.77    84.9  59.0    101.7    117.9         8      7.4
2011 09   106.4    78.0  0.73    84.6  59.5    134.5    118.4        13      7.7
2011 10   116.8    88.0  0.75    84.6  59.9    137.2    118.4         7      8.0
2011 11   133.1    96.7  0.73    86.3  61.1    153.1    119.5         3      8.0
2011 12   106.3    73.0  0.69    89.2  63.4    141.2    121.6         3      8.0
2012 01    91.3    58.3  0.64    92.0  65.5    133.1    124.4         6      8.3
2012 02    50.1    32.9  0.66    -1.0  -1.0    106.7     -1.0         7     -1.0
2012 03    77.9    64.3  0.82    -1.0  -1.0    115.1     -1.0        14     -1.0
2012 04    84.4    55.2  0.65    -1.0  -1.0    113.1     -1.0         9     -1.0
2012 05    99.5    69.0  0.69    -1.0  -1.0    121.5     -1.0         8     -1.0
2012 06    88.6    64.5  0.73    -1.0  -1.0    120.5     -1.0        10     -1.0
2012 07    99.6    66.5  0.67    -1.0  -1.0    135.6     -1.0        13     -1.0
